x-axis,1,3;;x-axis;1.00000;3.00000
second,Volt,Volt;;second;Volt;Volt
-273.1000E-03,+3.3271358E+00,+3.3477389E+00;;-0.27310;3.32714;3.34774
-273.0000E-03,+3.2869348E+00,+3.2673369E+00;;-0.27300;3.28693;3.26734
-272.9000E-03,+3.2869348E+00,+3.2271359E+00;;-0.27290;3.28693;3.22714
-272.8000E-03,+3.3271358E+00,+3.2271359E+00;;-0.27280;3.32714;3.22714
-272.7000E-03,+3.2869348E+00,+3.2673369E+00;;-0.27270;3.28693;3.26734
-272.6000E-03,+3.2869348E+00,+3.3075379E+00;;-0.27260;3.28693;3.30754
-272.5000E-03,+3.3271358E+00,+3.3075379E+00;;-0.27250;3.32714;3.30754
-272.4000E-03,+3.2869348E+00,+3.3075379E+00;;-0.27240;3.28693;3.30754
-272.3000E-03,+3.2869348E+00,+3.3075379E+00;;-0.27230;3.28693;3.30754
-272.2000E-03,+3.3271358E+00,+3.3075379E+00;;-0.27220;3.32714;3.30754
-272.1000E-03,+3.3271358E+00,+3.3075379E+00;;-0.27210;3.32714;3.30754
-272.0000E-03,+3.2869348E+00,+3.2673369E+00;;-0.27200;3.28693;3.26734
-271.9000E-03,+1.6386936E+00,+3.2673369E+00;;-0.27190;1.63869;3.26734
-271.8000E-03,-9.5476E-03,+3.2271359E+00;;-0.27180;-0.00955;3.22714
-271.7000E-03,-9.5476E-03,+3.2673369E+00;;-0.27170;-0.00955;3.26734
-271.6000E-03,+30.6534E-03,+3.3477389E+00;;-0.27160;0.03065;3.34774
-271.5000E-03,+30.6534E-03,+3.3075379E+00;;-0.27150;0.03065;3.30754
-271.4000E-03,+30.6534E-03,+3.2673369E+00;;-0.27140;0.03065;3.26734
-271.3000E-03,+30.6534E-03,+3.2673369E+00;;-0.27130;0.03065;3.26734
-271.2000E-03,+30.6534E-03,+3.3075379E+00;;-0.27120;0.03065;3.30754
-271.1000E-03,-9.5476E-03,+3.3075379E+00;;-0.27110;-0.00955;3.30754
-271.0000E-03,-49.7486E-03,+3.3075379E+00;;-0.27100;-0.04975;3.30754
-270.9000E-03,-9.5476E-03,+3.2673369E+00;;-0.27090;-0.00955;3.26734
-270.8000E-03,+30.6534E-03,+3.2673369E+00;;-0.27080;0.03065;3.26734
-270.7000E-03,+30.6534E-03,+3.2673369E+00;;-0.27070;0.03065;3.26734
-270.6000E-03,+30.6534E-03,+3.2673369E+00;;-0.27060;0.03065;3.26734
-270.5000E-03,+30.6534E-03,+3.3075379E+00;;-0.27050;0.03065;3.30754
-270.4000E-03,+30.6534E-03,+3.3075379E+00;;-0.27040;0.03065;3.30754
-270.3000E-03,-9.5476E-03,+3.2673369E+00;;-0.27030;-0.00955;3.26734
-270.2000E-03,-9.5476E-03,+3.2673369E+00;;-0.27020;-0.00955;3.26734
