x-axis,1,3;;x-axis;1.00000;3.00000;;;;;;;;2;;;;;
second,Volt,Volt;;second;Volt;Volt;;;;Active;;Packet Start;Packet End;;Active ID;;Packet ID;Packet Length;Packet Length [ms]
-4.766620E+00,+9.548E-03,+5.528E-03;;-4.76662;0.00955;0.00553;;0.00402;;0;;0;0;;0;;47;0;0
-4.761620E+00,+5.528E-03,+5.528E-03;;-4.76162;0.00553;0.00553;;0.00000;;0;;0;0;;0;;48;0;0
-4.756620E+00,+5.528E-03,+5.528E-03;;-4.75662;0.00553;0.00553;;0.00000;;0;;0;0;;0;;49;0;0
-4.751620E+00,+9.548E-03,+5.528E-03;;-4.75162;0.00955;0.00553;;0.00402;;0;;0;0;;0;;50;0;0
-4.746620E+00,+5.528E-03,+1.508E-03;;-4.74662;0.00553;0.00151;;0.00402;;0;;0;0;;0;;51;0;0
-4.741620E+00,+45.729E-03,+5.528E-03;;-4.74162;0.04573;0.00553;;0.04020;;0;;0;0;;0;;52;0;0
-4.736620E+00,+45.729E-03,+5.528E-03;;-4.73662;0.04573;0.00553;;0.04020;;0;;0;0;;0;;53;0;0
-4.731620E+00,+5.528E-03,+41.709E-03;;-4.73162;0.00553;0.04171;;-0.03618;;0;;0;0;;0;;54;0;0
-4.726620E+00,+41.709E-03,+5.528E-03;;-4.72662;0.04171;0.00553;;0.03618;;0;;0;0;;0;;55;0;0
-4.721620E+00,+9.548E-03,+9.548E-03;;-4.72162;0.00955;0.00955;;0.00000;;0;;0;0;;0;;56;0;0
-4.716620E+00,+5.528E-03,+41.709E-03;;-4.71662;0.00553;0.04171;;-0.03618;;0;;0;0;;0;;57;0;0
-4.711620E+00,+9.548E-03,+37.689E-03;;-4.71162;0.00955;0.03769;;-0.02814;;0;;0;0;;0;;58;0;0
-4.706620E+00,+5.528E-03,+45.729E-03;;-4.70662;0.00553;0.04573;;-0.04020;;0;;0;0;;0;;59;0;0
-4.701620E+00,+41.709E-03,+5.528E-03;;-4.70162;0.04171;0.00553;;0.03618;;0;;0;0;;0;;60;0;0
-4.696620E+00,+9.548E-03,+5.528E-03;;-4.69662;0.00955;0.00553;;0.00402;;0;;0;0;;0;;61;0;0
-4.691620E+00,+45.729E-03,-30.653E-03;;-4.69162;0.04573;-0.03065;;0.07638;;0;;0;0;;0;;62;0;0
-4.686620E+00,+5.528E-03,+5.528E-03;;-4.68662;0.00553;0.00553;;0.00000;;0;;0;0;;0;;63;0;0
-4.681620E+00,+5.528E-03,-30.653E-03;;-4.68162;0.00553;-0.03065;;0.03618;;0;;0;0;;0;;64;0;0
-4.676620E+00,+41.709E-03,-26.633E-03;;-4.67662;0.04171;-0.02663;;0.06834;;0;;0;0;;0;;65;0;0
-4.671620E+00,+5.528E-03,+5.528E-03;;-4.67162;0.00553;0.00553;;0.00000;;0;;0;0;;0;;66;0;0
-4.666620E+00,+5.528E-03,+5.528E-03;;-4.66662;0.00553;0.00553;;0.00000;;0;;0;0;;0;;67;0;0
-4.661620E+00,+5.528E-03,-34.673E-03;;-4.66162;0.00553;-0.03467;;0.04020;;0;;0;0;;0;;68;0;0
-4.656620E+00,+41.709E-03,-30.653E-03;;-4.65662;0.04171;-0.03065;;0.07236;;0;;0;0;;0;;69;0;0
-4.651620E+00,+41.709E-03,+5.528E-03;;-4.65162;0.04171;0.00553;;0.03618;;0;;0;0;;0;;70;0;0
-4.646620E+00,+9.548E-03,+9.548E-03;;-4.64662;0.00955;0.00955;;0.00000;;0;;0;0;;0;;71;0;0
-4.641620E+00,+9.548E-03,+1.508E-03;;-4.64162;0.00955;0.00151;;0.00804;;0;;0;0;;0;;;;
-4.636620E+00,+5.528E-03,+5.528E-03;;-4.63662;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-4.631620E+00,+5.528E-03,-30.653E-03;;-4.63162;0.00553;-0.03065;;0.03618;;0;;0;0;;0;;;;
-4.626620E+00,+41.709E-03,-30.653E-03;;-4.62662;0.04171;-0.03065;;0.07236;;0;;0;0;;0;;;;
-4.621620E+00,-26.633E-03,+41.709E-03;;-4.62162;-0.02663;0.04171;;-0.06834;;0;;0;0;;0;;;;
-4.616620E+00,+9.548E-03,-30.653E-03;;-4.61662;0.00955;-0.03065;;0.04020;;0;;0;0;;0;;;;
-4.611620E+00,+5.528E-03,+45.729E-03;;-4.61162;0.00553;0.04573;;-0.04020;;0;;0;0;;0;;;;
-4.606620E+00,+41.709E-03,-30.653E-03;;-4.60662;0.04171;-0.03065;;0.07236;;0;;0;0;;0;;;;
-4.601620E+00,+9.548E-03,+1.508E-03;;-4.60162;0.00955;0.00151;;0.00804;;0;;0;0;;0;;;;
-4.596620E+00,+41.709E-03,+5.528E-03;;-4.59662;0.04171;0.00553;;0.03618;;0;;0;0;;0;;;;
-4.591620E+00,+5.528E-03,+9.548E-03;;-4.59162;0.00553;0.00955;;-0.00402;;0;;0;0;;0;;;;
-4.586620E+00,+45.729E-03,-30.653E-03;;-4.58662;0.04573;-0.03065;;0.07638;;0;;0;0;;0;;;;
-4.581620E+00,+37.689E-03,+1.508E-03;;-4.58162;0.03769;0.00151;;0.03618;;0;;0;0;;0;;;;
-4.576620E+00,+45.729E-03,+9.548E-03;;-4.57662;0.04573;0.00955;;0.03618;;0;;0;0;;0;;;;
-4.571620E+00,+5.528E-03,-34.673E-03;;-4.57162;0.00553;-0.03467;;0.04020;;0;;0;0;;0;;;;
-4.566620E+00,+9.548E-03,+41.709E-03;;-4.56662;0.00955;0.04171;;-0.03216;;0;;0;0;;0;;;;
-4.561620E+00,+41.709E-03,+9.548E-03;;-4.56162;0.04171;0.00955;;0.03216;;0;;0;0;;0;;;;
-4.556620E+00,+37.689E-03,+5.528E-03;;-4.55662;0.03769;0.00553;;0.03216;;0;;0;0;;0;;;;
-4.551620E+00,+49.749E-03,+5.528E-03;;-4.55162;0.04975;0.00553;;0.04422;;0;;0;0;;0;;;;
-4.546620E+00,+1.508E-03,+5.528E-03;;-4.54662;0.00151;0.00553;;-0.00402;;0;;0;0;;0;;;;
-4.541620E+00,+41.709E-03,+9.548E-03;;-4.54162;0.04171;0.00955;;0.03216;;0;;0;0;;0;;;;
-4.536620E+00,+41.709E-03,-30.653E-03;;-4.53662;0.04171;-0.03065;;0.07236;;0;;0;0;;0;;;;
-4.531620E+00,+5.528E-03,+5.528E-03;;-4.53162;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-4.526620E+00,+5.528E-03,+9.548E-03;;-4.52662;0.00553;0.00955;;-0.00402;;0;;0;0;;0;;;;
-4.521620E+00,+9.548E-03,+5.528E-03;;-4.52162;0.00955;0.00553;;0.00402;;0;;0;0;;0;;;;
-4.516620E+00,+9.548E-03,+5.528E-03;;-4.51662;0.00955;0.00553;;0.00402;;0;;0;0;;0;;;;
-4.511620E+00,+5.528E-03,+5.528E-03;;-4.51162;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-4.506620E+00,+5.528E-03,+41.709E-03;;-4.50662;0.00553;0.04171;;-0.03618;;0;;0;0;;0;;;;
-4.501620E+00,+5.528E-03,+3.117086E+00;;-4.50162;0.00553;3.11709;;-3.11156;;0;;0;0;;0;;;;
-4.496620E+00,+41.709E-03,+3.265829E+00;;-4.49662;0.04171;3.26583;;-3.22412;;0;;0;0;;0;;;;
-4.491620E+00,+5.528E-03,+13.568E-03;;-4.49162;0.00553;0.01357;;-0.00804;;0;;0;0;;0;;;;
-4.486620E+00,+5.528E-03,+41.709E-03;;-4.48662;0.00553;0.04171;;-0.03618;;0;;0;0;;0;;;;
-4.481620E+00,+5.528E-03,+45.729E-03;;-4.48162;0.00553;0.04573;;-0.04020;;0;;0;0;;0;;;;
-4.476620E+00,+45.729E-03,+9.548E-03;;-4.47662;0.04573;0.00955;;0.03618;;0;;0;0;;0;;;;
-4.471620E+00,+5.528E-03,-66.834E-03;;-4.47162;0.00553;-0.06683;;0.07236;;0;;0;0;;0;;;;
-4.466620E+00,+5.528E-03,+41.709E-03;;-4.46662;0.00553;0.04171;;-0.03618;;0;;0;0;;0;;;;
-4.461620E+00,+9.548E-03,+5.528E-03;;-4.46162;0.00955;0.00553;;0.00402;;0;;0;0;;0;;;;
-4.456620E+00,+1.508E-03,+41.709E-03;;-4.45662;0.00151;0.04171;;-0.04020;;0;;0;0;;0;;;;
-4.451620E+00,+5.528E-03,+41.709E-03;;-4.45162;0.00553;0.04171;;-0.03618;;0;;0;0;;0;;;;
-4.446620E+00,+5.528E-03,-30.653E-03;;-4.44662;0.00553;-0.03065;;0.03618;;0;;0;0;;0;;;;
-4.441620E+00,+37.689E-03,+5.528E-03;;-4.44162;0.03769;0.00553;;0.03216;;0;;0;0;;0;;;;
-4.436620E+00,+41.709E-03,+9.548E-03;;-4.43662;0.04171;0.00955;;0.03216;;0;;0;0;;0;;;;
-4.431620E+00,+9.548E-03,+5.528E-03;;-4.43162;0.00955;0.00553;;0.00402;;0;;0;0;;0;;;;
-4.426620E+00,+41.709E-03,+9.548E-03;;-4.42662;0.04171;0.00955;;0.03216;;0;;0;0;;0;;;;
-4.421620E+00,+13.568E-03,-66.834E-03;;-4.42162;0.01357;-0.06683;;0.08040;;0;;0;0;;0;;;;
-4.416620E+00,+5.528E-03,-30.653E-03;;-4.41662;0.00553;-0.03065;;0.03618;;0;;0;0;;0;;;;
-4.411620E+00,+5.528E-03,+41.709E-03;;-4.41162;0.00553;0.04171;;-0.03618;;0;;0;0;;0;;;;
-4.406620E+00,+41.709E-03,+5.528E-03;;-4.40662;0.04171;0.00553;;0.03618;;0;;0;0;;0;;;;
-4.401620E+00,+41.709E-03,+9.548E-03;;-4.40162;0.04171;0.00955;;0.03216;;0;;0;0;;0;;;;
-4.396620E+00,+5.528E-03,+5.528E-03;;-4.39662;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-4.391620E+00,+9.548E-03,+5.528E-03;;-4.39162;0.00955;0.00553;;0.00402;;0;;0;0;;0;;;;
-4.386620E+00,+45.729E-03,+5.528E-03;;-4.38662;0.04573;0.00553;;0.04020;;0;;0;0;;0;;;;
-4.381620E+00,+5.528E-03,+9.548E-03;;-4.38162;0.00553;0.00955;;-0.00402;;0;;0;0;;0;;;;
-4.376620E+00,+5.528E-03,+9.548E-03;;-4.37662;0.00553;0.00955;;-0.00402;;0;;0;0;;0;;;;
-4.371620E+00,+41.709E-03,+5.528E-03;;-4.37162;0.04171;0.00553;;0.03618;;0;;0;0;;0;;;;
-4.366620E+00,+5.528E-03,+41.709E-03;;-4.36662;0.00553;0.04171;;-0.03618;;0;;0;0;;0;;;;
-4.361620E+00,+9.548E-03,+5.528E-03;;-4.36162;0.00955;0.00553;;0.00402;;0;;0;0;;0;;;;
-4.356620E+00,+5.528E-03,+9.548E-03;;-4.35662;0.00553;0.00955;;-0.00402;;0;;0;0;;0;;;;
-4.351620E+00,+1.508E-03,-30.653E-03;;-4.35162;0.00151;-0.03065;;0.03216;;0;;0;0;;0;;;;
-4.346620E+00,+9.548E-03,+41.709E-03;;-4.34662;0.00955;0.04171;;-0.03216;;0;;0;0;;0;;;;
-4.341620E+00,+41.709E-03,+1.508E-03;;-4.34162;0.04171;0.00151;;0.04020;;0;;0;0;;0;;;;
-4.336620E+00,+9.548E-03,+37.689E-03;;-4.33662;0.00955;0.03769;;-0.02814;;0;;0;0;;0;;;;
-4.331620E+00,+5.528E-03,-26.633E-03;;-4.33162;0.00553;-0.02663;;0.03216;;0;;0;0;;0;;;;
-4.326620E+00,+41.709E-03,+5.528E-03;;-4.32662;0.04171;0.00553;;0.03618;;0;;0;0;;0;;;;
-4.321620E+00,+5.528E-03,+5.528E-03;;-4.32162;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-4.316620E+00,+5.528E-03,+45.729E-03;;-4.31662;0.00553;0.04573;;-0.04020;;0;;0;0;;0;;;;
-4.311620E+00,+5.528E-03,+5.528E-03;;-4.31162;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-4.306620E+00,+5.528E-03,+5.528E-03;;-4.30662;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-4.301620E+00,+45.729E-03,+5.528E-03;;-4.30162;0.04573;0.00553;;0.04020;;0;;0;0;;0;;;;
-4.296620E+00,+5.528E-03,+5.528E-03;;-4.29662;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-4.291620E+00,+41.709E-03,+5.528E-03;;-4.29162;0.04171;0.00553;;0.03618;;0;;0;0;;0;;;;
-4.286620E+00,+5.528E-03,-38.693E-03;;-4.28662;0.00553;-0.03869;;0.04422;;0;;0;0;;0;;;;
-4.281620E+00,+41.709E-03,+5.528E-03;;-4.28162;0.04171;0.00553;;0.03618;;0;;0;0;;0;;;;
