x-axis,1,3;;x-axis;1.00000;3.00000;;;;;;;;2;
second,Volt,Volt;;second;Volt;Volt;;;;;;;;;
-504.30000E-03,+3.30201014E+00,+3.30201014E+00;;-0.50430;3.30201;3.30201;;0.0000;;0;;0;;;
-504.26000E-03,+3.27185939E+00,+3.27185939E+00;;-0.50426;3.27186;3.27186;;0.0000;;0;;0;;;
-504.22000E-03,+3.23165838E+00,+3.26180914E+00;;-0.50422;3.23166;3.26181;;-0.0302;;0;;0;;;
-504.18000E-03,+3.25175889E+00,+3.29195989E+00;;-0.50418;3.25176;3.29196;;-0.0402;;0;;0;;;
-504.14000E-03,+3.32211064E+00,+3.27185939E+00;;-0.50414;3.32211;3.27186;;0.0503;;0;;0;;;
-504.10000E-03,+3.28190964E+00,+3.29195989E+00;;-0.50410;3.28191;3.29196;;-0.0101;;0;;0;;;
-504.06000E-03,+3.29195989E+00,+3.24170863E+00;;-0.50406;3.29196;3.24171;;0.0503;;0;;0;;;
-504.02000E-03,+3.30201014E+00,+3.25175889E+00;;-0.50402;3.30201;3.25176;;0.0503;;0;;0;;;
-503.98000E-03,+3.27185939E+00,+3.29195989E+00;;-0.50398;3.27186;3.29196;;-0.0201;;0;;0;;;
-503.94000E-03,+3.29195989E+00,+3.30201014E+00;;-0.50394;3.29196;3.30201;;-0.0101;;0;;0;;;
-503.90000E-03,+3.30201014E+00,+3.27185939E+00;;-0.50390;3.30201;3.27186;;0.0302;;0;;0;;;
-503.86000E-03,+3.33216089E+00,+3.26180914E+00;;-0.50386;3.33216;3.26181;;0.0704;;0;;0;;;
-503.82000E-03,+3.31206039E+00,+3.26180914E+00;;-0.50382;3.31206;3.26181;;0.0503;;0;;0;;;
-503.78000E-03,+3.30201014E+00,+3.26180914E+00;;-0.50378;3.30201;3.26181;;0.0402;;0;;0;;;
-503.74000E-03,+3.30201014E+00,+3.26180914E+00;;-0.50374;3.30201;3.26181;;0.0402;;0;;0;;;
-503.70000E-03,+3.30201014E+00,+3.29195989E+00;;-0.50370;3.30201;3.29196;;0.0101;;0;;0;;;
-503.66000E-03,+3.30201014E+00,+3.27185939E+00;;-0.50366;3.30201;3.27186;;0.0302;;0;;0;;;
-503.62000E-03,+3.30201014E+00,+3.29195989E+00;;-0.50362;3.30201;3.29196;;0.0101;;0;;0;;;
-503.58000E-03,+3.33216089E+00,+3.30201014E+00;;-0.50358;3.33216;3.30201;;0.0302;;0;;0;;;
-503.54000E-03,+3.31206039E+00,+3.27185939E+00;;-0.50354;3.31206;3.27186;;0.0402;;0;;0;;;
-503.50000E-03,+3.30201014E+00,+3.26180914E+00;;-0.50350;3.30201;3.26181;;0.0402;;0;;0;;;
-503.46000E-03,+3.30201014E+00,+3.29195989E+00;;-0.50346;3.30201;3.29196;;0.0101;;0;;0;;;
-503.42000E-03,+3.27185939E+00,+3.30201014E+00;;-0.50342;3.27186;3.30201;;-0.0302;;0;;0;;;
-503.38000E-03,+3.26180914E+00,+3.30201014E+00;;-0.50338;3.26181;3.30201;;-0.0402;;0;;0;;;
-503.34000E-03,+3.26180914E+00,+3.27185939E+00;;-0.50334;3.26181;3.27186;;-0.0101;;0;;0;;;
-503.30000E-03,+3.29195989E+00,+3.29195989E+00;;-0.50330;3.29196;3.29196;;0.0000;;0;;0;;;
-503.26000E-03,+3.30201014E+00,+3.27185939E+00;;-0.50326;3.30201;3.27186;;0.0302;;0;;0;;;
-503.22000E-03,+3.27185939E+00,+3.23165838E+00;;-0.50322;3.27186;3.23166;;0.0402;;0;;0;;;
-503.18000E-03,+3.32211064E+00,+3.25175889E+00;;-0.50318;3.32211;3.25176;;0.0704;;0;;0;;;
-503.14000E-03,+3.28190964E+00,+3.26180914E+00;;-0.50314;3.28191;3.26181;;0.0201;;0;;0;;;
-503.10000E-03,+3.32211064E+00,+3.29195989E+00;;-0.50310;3.32211;3.29196;;0.0302;;0;;0;;;
-503.06000E-03,+3.31206039E+00,+3.30201014E+00;;-0.50306;3.31206;3.30201;;0.0101;;0;;0;;;
-503.02000E-03,+3.30201014E+00,+3.27185939E+00;;-0.50302;3.30201;3.27186;;0.0302;;0;;0;;;
-502.98000E-03,+3.30201014E+00,+3.29195989E+00;;-0.50298;3.30201;3.29196;;0.0101;;0;;0;;;
-502.94000E-03,+3.30201014E+00,+3.30201014E+00;;-0.50294;3.30201;3.30201;;0.0000;;0;;0;;;
-502.90000E-03,+3.27185939E+00,+3.30201014E+00;;-0.50290;3.27186;3.30201;;-0.0302;;0;;0;;;
-502.86000E-03,+3.29195989E+00,+3.27185939E+00;;-0.50286;3.29196;3.27186;;0.0201;;0;;0;;;
-502.82000E-03,+3.27185939E+00,+3.29195989E+00;;-0.50282;3.27186;3.29196;;-0.0201;;0;;0;;;
-502.78000E-03,+3.26180914E+00,+3.27185939E+00;;-0.50278;3.26181;3.27186;;-0.0101;;0;;0;;;
-502.74000E-03,+3.29195989E+00,+3.26180914E+00;;-0.50274;3.29196;3.26181;;0.0302;;0;;0;;;
-502.70000E-03,+3.27185939E+00,+3.29195989E+00;;-0.50270;3.27186;3.29196;;-0.0201;;0;;0;;;
-502.66000E-03,+3.29195989E+00,+3.27185939E+00;;-0.50266;3.29196;3.27186;;0.0201;;0;;0;;;
-502.62000E-03,+3.30201014E+00,+3.26180914E+00;;-0.50262;3.30201;3.26181;;0.0402;;0;;0;;;
-502.58000E-03,+3.30201014E+00,+3.26180914E+00;;-0.50258;3.30201;3.26181;;0.0402;;0;;0;;;
-502.54000E-03,+3.33216089E+00,+3.26180914E+00;;-0.50254;3.33216;3.26181;;0.0704;;0;;0;;;
-502.50000E-03,+3.31206039E+00,+3.26180914E+00;;-0.50250;3.31206;3.26181;;0.0503;;0;;0;;;
-502.46000E-03,+3.30201014E+00,+3.26180914E+00;;-0.50246;3.30201;3.26181;;0.0402;;0;;0;;;
-502.42000E-03,+3.33216089E+00,+3.29195989E+00;;-0.50242;3.33216;3.29196;;0.0402;;0;;0;;;
-502.38000E-03,+3.31206039E+00,+3.27185939E+00;;-0.50238;3.31206;3.27186;;0.0402;;0;;0;;;
-502.34000E-03,+3.30201014E+00,+3.29195989E+00;;-0.50234;3.30201;3.29196;;0.0101;;0;;0;;;
-502.30000E-03,+3.33216089E+00,+3.30201014E+00;;-0.50230;3.33216;3.30201;;0.0302;;0;;0;;;
-502.26000E-03,+3.28190964E+00,+3.30201014E+00;;-0.50226;3.28191;3.30201;;-0.0201;;0;;0;;;
-502.22000E-03,+3.26180914E+00,+3.30201014E+00;;-0.50222;3.26181;3.30201;;-0.0402;;0;;0;;;
-502.18000E-03,+3.29195989E+00,+3.30201014E+00;;-0.50218;3.29196;3.30201;;-0.0101;;0;;0;;;
-502.14000E-03,+3.30201014E+00,+3.27185939E+00;;-0.50214;3.30201;3.27186;;0.0302;;0;;0;;;
-502.10000E-03,+3.27185939E+00,+3.26180914E+00;;-0.50210;3.27186;3.26181;;0.0101;;0;;0;;;
-502.06000E-03,+3.29195989E+00,+3.29195989E+00;;-0.50206;3.29196;3.29196;;0.0000;;0;;0;;;
-502.02000E-03,+3.30201014E+00,+3.30201014E+00;;-0.50202;3.30201;3.30201;;0.0000;;0;;0;;;
-501.98000E-03,+3.27185939E+00,+3.30201014E+00;;-0.50198;3.27186;3.30201;;-0.0302;;0;;0;;;
-501.94000E-03,+3.29195989E+00,+3.27185939E+00;;-0.50194;3.29196;3.27186;;0.0201;;0;;0;;;
-501.90000E-03,+3.27185939E+00,+3.29195989E+00;;-0.50190;3.27186;3.29196;;-0.0201;;0;;0;;;
-501.86000E-03,+3.26180914E+00,+3.27185939E+00;;-0.50186;3.26181;3.27186;;-0.0101;;0;;0;;;
-501.82000E-03,+3.29195989E+00,+3.23165838E+00;;-0.50182;3.29196;3.23166;;0.0603;;0;;0;;;
