x-axis,1,3;;x-axis;1.00000;3.00000;;;;;;;;;;;;;
second,Volt,Volt;;second;Volt;Volt;;;;Active;;Packet Start;Packet End;;Active ID;;Packet ID;Packet Length;Packet Length [ms]
-1.9870000E+00,+5.5278E-03,+3.2668343E+00;;-1.98700;0.00553;3.26683;;-3.26131;;0;;0;0;;0;;53;2;0.2
-1.9869000E+00,+5.5278E-03,+3.2969850E+00;;-1.98690;0.00553;3.29699;;-3.29146;;0;;0;0;;0;;54;1;0.1
-1.9868000E+00,+40.7036E-03,+3.2316584E+00;;-1.98680;0.04070;3.23166;;-3.19095;;0;;0;0;;0;;55;2;0.2
-1.9867000E+00,+45.7288E-03,+3.2567840E+00;;-1.98670;0.04573;3.25678;;-3.21106;;0;;0;0;;0;;56;2;0.2
-1.9866000E+00,+45.7288E-03,+3.2618091E+00;;-1.98660;0.04573;3.26181;;-3.21608;;0;;0;0;;0;;57;1;0.1
-1.9865000E+00,+80.9046E-03,+3.2618091E+00;;-1.98650;0.08090;3.26181;;-3.18090;;0;;0;0;;0;;58;1;0.1
-1.9864000E+00,+50.7539E-03,+3.2969850E+00;;-1.98640;0.05075;3.29699;;-3.24623;;0;;0;0;;0;;59;2;0.2
-1.9863000E+00,+10.5529E-03,+3.3020101E+00;;-1.98630;0.01055;3.30201;;-3.29146;;0;;0;0;;0;;60;4;0.4
-1.9862000E+00,-29.6481E-03,+3.3020101E+00;;-1.98620;-0.02965;3.30201;;-3.33166;;0;;0;0;;0;;61;1;0.1
-1.9861000E+00,+502.6E-06,+3.3020101E+00;;-1.98610;0.00050;3.30201;;-3.30151;;0;;0;0;;0;;62;3;0.3
-1.9860000E+00,+5.5278E-03,+3.3020101E+00;;-1.98600;0.00553;3.30201;;-3.29648;;0;;0;0;;0;;63;4;0.4
-1.9859000E+00,+40.7036E-03,+3.2668343E+00;;-1.98590;0.04070;3.26683;;-3.22613;;0;;0;0;;0;;64;3;0.3
-1.9858000E+00,+10.5529E-03,+3.2266333E+00;;-1.98580;0.01055;3.22663;;-3.21608;;0;;0;0;;0;;65;2;0.2
-1.9857000E+00,+40.7036E-03,+3.2567840E+00;;-1.98570;0.04070;3.25678;;-3.21608;;0;;0;0;;0;;66;1;0.1
-1.9856000E+00,+45.7288E-03,+3.2618091E+00;;-1.98560;0.04573;3.26181;;-3.21608;;0;;0;0;;0;;67;1;0.1
-1.9855000E+00,+45.7288E-03,+3.2618091E+00;;-1.98550;0.04573;3.26181;;-3.21608;;0;;0;0;;0;;68;2;0.2
-1.9854000E+00,+10.5529E-03,+3.2969850E+00;;-1.98540;0.01055;3.29699;;-3.28643;;0;;0;0;;0;;69;3;0.3
-1.9853000E+00,+40.7036E-03,+3.2668343E+00;;-1.98530;0.04070;3.26683;;-3.22613;;0;;0;0;;0;;70;6;0.6
-1.9852000E+00,+45.7288E-03,+3.2969850E+00;;-1.98520;0.04573;3.29699;;-3.25126;;0;;0;0;;0;;71;2;0.2
-1.9851000E+00,+45.7288E-03,+3.2668343E+00;;-1.98510;0.04573;3.26683;;-3.22111;;0;;0;0;;0;;72;1;0.1
-1.9850000E+00,+45.7288E-03,+3.2969850E+00;;-1.98500;0.04573;3.29699;;-3.25126;;0;;0;0;;0;;73;1;0.1
-1.9849000E+00,+10.5529E-03,+3.2668343E+00;;-1.98490;0.01055;3.26683;;-3.25628;;0;;0;0;;0;;74;2;0.2
-1.9848000E+00,+5.5278E-03,+3.2969850E+00;;-1.98480;0.00553;3.29699;;-3.29146;;0;;0;0;;0;;75;3;0.3
-1.9847000E+00,+40.7036E-03,+3.2668343E+00;;-1.98470;0.04070;3.26683;;-3.22613;;0;;0;0;;0;;76;1;0.1
-1.9846000E+00,+45.7288E-03,+3.2266333E+00;;-1.98460;0.04573;3.22663;;-3.18090;;0;;0;0;;0;;77;2;0.2
-1.9845000E+00,+10.5529E-03,+337.1861E-03;;-1.98450;0.01055;0.33719;;-0.32663;;0;;0;0;;0;;;;
-1.9844000E+00,-29.6481E-03,+30.6534E-03;;-1.98440;-0.02965;0.03065;;-0.06030;;0;;0;0;;0;;;;
-1.9843000E+00,+502.6E-06,+10.5529E-03;;-1.98430;0.00050;0.01055;;-0.01005;;0;;0;0;;0;;;;
-1.9842000E+00,+5.5278E-03,+5.5278E-03;;-1.98420;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-1.9841000E+00,+40.7036E-03,+5.5278E-03;;-1.98410;0.04070;0.00553;;0.03518;;1;;1;0;;1;;;;
-1.9840000E+00,+10.5529E-03,+5.5278E-03;;-1.98400;0.01055;0.00553;;0.00503;;1;;0;0;;1;;;;
-1.9839000E+00,+5.5278E-03,+40.7036E-03;;-1.98390;0.00553;0.04070;;-0.03518;;0;;0;1;;0;;;;
-1.9838000E+00,+5.5278E-03,+10.5529E-03;;-1.98380;0.00553;0.01055;;-0.00503;;0;;0;0;;0;;;;
-1.9837000E+00,+5.5278E-03,+5.5278E-03;;-1.98370;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-1.9836000E+00,+40.7036E-03,-29.6481E-03;;-1.98360;0.04070;-0.02965;;0.07035;;1;;1;0;;2;;;;
-1.9835000E+00,+45.7288E-03,+502.6E-06;;-1.98350;0.04573;0.00050;;0.04523;;1;;0;0;;2;;;;
-1.9834000E+00,+10.5529E-03,+40.7036E-03;;-1.98340;0.01055;0.04070;;-0.03015;;0;;0;1;;0;;;;
-1.9833000E+00,+5.5278E-03,-24.6230E-03;;-1.98330;0.00553;-0.02462;;0.03015;;1;;1;0;;3;;;;
-1.9832000E+00,+40.7036E-03,+502.6E-06;;-1.98320;0.04070;0.00050;;0.04020;;1;;0;0;;3;;;;
-1.9831000E+00,+10.5529E-03,+40.7036E-03;;-1.98310;0.01055;0.04070;;-0.03015;;0;;0;1;;0;;;;
-1.9830000E+00,+5.5278E-03,+45.7288E-03;;-1.98300;0.00553;0.04573;;-0.04020;;0;;0;0;;0;;;;
-1.9829000E+00,+40.7036E-03,+10.5529E-03;;-1.98290;0.04070;0.01055;;0.03015;;1;;1;0;;4;;;;
-1.9828000E+00,+10.5529E-03,+5.5278E-03;;-1.98280;0.01055;0.00553;;0.00503;;1;;0;0;;4;;;;
-1.9827000E+00,+5.5278E-03,+40.7036E-03;;-1.98270;0.00553;0.04070;;-0.03518;;0;;0;1;;0;;;;
-1.9826000E+00,+5.5278E-03,+45.7288E-03;;-1.98260;0.00553;0.04573;;-0.04020;;0;;0;0;;0;;;;
-1.9825000E+00,+40.7036E-03,+10.5529E-03;;-1.98250;0.04070;0.01055;;0.03015;;1;;1;0;;5;;;;
-1.9824000E+00,+45.7288E-03,+5.5278E-03;;-1.98240;0.04573;0.00553;;0.04020;;1;;0;0;;5;;;;
-1.9823000E+00,+45.7288E-03,+40.7036E-03;;-1.98230;0.04573;0.04070;;0.00503;;1;;0;0;;5;;;;
-1.9822000E+00,+10.5529E-03,+45.7288E-03;;-1.98220;0.01055;0.04573;;-0.03518;;0;;0;1;;0;;;;
-1.9821000E+00,+40.7036E-03,+45.7288E-03;;-1.98210;0.04070;0.04573;;-0.00503;;0;;0;0;;0;;;;
-1.9820000E+00,+45.7288E-03,+10.5529E-03;;-1.98200;0.04573;0.01055;;0.03518;;1;;1;0;;6;;;;
-1.9819000E+00,+45.7288E-03,+5.5278E-03;;-1.98190;0.04573;0.00553;;0.04020;;1;;0;0;;6;;;;
-1.9818000E+00,+10.5529E-03,+5.5278E-03;;-1.98180;0.01055;0.00553;;0.00503;;1;;0;0;;6;;;;
-1.9817000E+00,+40.7036E-03,+5.5278E-03;;-1.98170;0.04070;0.00553;;0.03518;;1;;0;0;;6;;;;
-1.9816000E+00,+45.7288E-03,+5.5278E-03;;-1.98160;0.04573;0.00553;;0.04020;;1;;0;0;;6;;;;
-1.9815000E+00,+45.7288E-03,+40.7036E-03;;-1.98150;0.04573;0.04070;;0.00503;;1;;0;0;;6;;;;
-1.9814000E+00,+45.7288E-03,+10.5529E-03;;-1.98140;0.04573;0.01055;;0.03518;;1;;0;0;;6;;;;
-1.9813000E+00,+45.7288E-03,-29.6481E-03;;-1.98130;0.04573;-0.02965;;0.07538;;1;;0;0;;6;;;;
-1.9812000E+00,+10.5529E-03,+35.6785E-03;;-1.98120;0.01055;0.03568;;-0.02513;;0;;0;1;;0;;;;
-1.9811000E+00,+40.7036E-03,+10.5529E-03;;-1.98110;0.04070;0.01055;;0.03015;;1;;1;0;;7;;;;
-1.9810000E+00,+45.7288E-03,+5.5278E-03;;-1.98100;0.04573;0.00553;;0.04020;;1;;0;0;;7;;;;
-1.9809000E+00,+10.5529E-03,+40.7036E-03;;-1.98090;0.01055;0.04070;;-0.03015;;0;;0;1;;0;;;;
-1.9808000E+00,+5.5278E-03,+45.7288E-03;;-1.98080;0.00553;0.04573;;-0.04020;;0;;0;0;;0;;;;
-1.9807000E+00,+5.5278E-03,+10.5529E-03;;-1.98070;0.00553;0.01055;;-0.00503;;0;;0;0;;0;;;;
-1.9806000E+00,+40.7036E-03,+5.5278E-03;;-1.98060;0.04070;0.00553;;0.03518;;1;;1;0;;8;;;;
-1.9805000E+00,+45.7288E-03,+5.5278E-03;;-1.98050;0.04573;0.00553;;0.04020;;1;;0;0;;8;;;;
-1.9804000E+00,+10.5529E-03,+40.7036E-03;;-1.98040;0.01055;0.04070;;-0.03015;;0;;0;1;;0;;;;
-1.9803000E+00,+40.7036E-03,-24.6230E-03;;-1.98030;0.04070;-0.02462;;0.06533;;1;;1;0;;9;;;;
-1.9802000E+00,+10.5529E-03,+35.6785E-03;;-1.98020;0.01055;0.03568;;-0.02513;;0;;0;1;;0;;;;
-1.9801000E+00,+40.7036E-03,+45.7288E-03;;-1.98010;0.04070;0.04573;;-0.00503;;0;;0;0;;0;;;;
-1.9800000E+00,+45.7288E-03,+10.5529E-03;;-1.98000;0.04573;0.01055;;0.03518;;1;;1;0;;10;;;;
-1.9799000E+00,+10.5529E-03,+5.5278E-03;;-1.97990;0.01055;0.00553;;0.00503;;1;;0;0;;10;;;;
-1.9798000E+00,+40.7036E-03,+5.5278E-03;;-1.97980;0.04070;0.00553;;0.03518;;1;;0;0;;10;;;;
-1.9797000E+00,+45.7288E-03,+5.5278E-03;;-1.97970;0.04573;0.00553;;0.04020;;1;;0;0;;10;;;;
-1.9796000E+00,+10.5529E-03,+5.5278E-03;;-1.97960;0.01055;0.00553;;0.00503;;1;;0;0;;10;;;;
