x-axis,1,3
second,Volt,Volt
-14.26000E-03,+5.60628E-03,+12.23945E-03
-14.22875E-03,+5.60628E-03,+7.21432E-03
-14.19750E-03,+5.60628E-03,+5.60628E-03
-14.16625E-03,+5.60628E-03,+5.60628E-03
-14.13500E-03,+5.60628E-03,+5.60628E-03
-14.10375E-03,+5.60628E-03,+5.60628E-03
-14.07250E-03,+5.60628E-03,+5.60628E-03
-14.04125E-03,+5.60628E-03,+5.60628E-03
-14.01000E-03,+5.60628E-03,+5.60628E-03
-13.97875E-03,+5.60628E-03,+5.60628E-03
-13.94750E-03,+5.60628E-03,+5.60628E-03
-13.91625E-03,+5.60628E-03,+5.60628E-03
-13.88500E-03,+5.60628E-03,+5.60628E-03
-13.85375E-03,+5.60628E-03,+5.60628E-03
-13.82250E-03,+5.60628E-03,+5.60628E-03
-13.79125E-03,+14.14900E-03,+5.60628E-03
-13.76000E-03,+26.71181E-03,+5.60628E-03
-13.72875E-03,+39.27462E-03,+5.60628E-03
-13.69750E-03,+51.83744E-03,+5.60628E-03
-13.66625E-03,+64.40025E-03,+5.60628E-03
-13.63500E-03,+80.38015E-03,+5.60628E-03
-13.60375E-03,+79.17412E-03,+7.31482E-03
-13.57250E-03,+67.41533E-03,+13.24447E-03
-13.54125E-03,+54.85251E-03,+19.07362E-03
-13.51000E-03,+42.28970E-03,+25.80729E-03
-13.47875E-03,+29.72688E-03,+31.63643E-03
-13.44750E-03,+17.16407E-03,+38.37010E-03
-13.41625E-03,+8.01834E-03,+44.19925E-03
-13.38500E-03,+5.60628E-03,+38.97312E-03
-13.35375E-03,+5.60628E-03,+32.33995E-03
-13.32250E-03,+5.60628E-03,+25.60628E-03
-13.29125E-03,+5.60628E-03,+19.77714E-03
-13.26000E-03,+5.60628E-03,+13.04347E-03
-13.22875E-03,+5.60628E-03,+7.21432E-03
-13.19750E-03,+5.60628E-03,+5.60628E-03
-13.16625E-03,+5.60628E-03,+5.60628E-03
-13.13500E-03,+5.60628E-03,+5.60628E-03
-13.10375E-03,+5.60628E-03,+5.60628E-03
-13.07250E-03,+5.60628E-03,+5.60628E-03
-13.04125E-03,+5.60628E-03,+5.60628E-03
-13.01000E-03,+5.60628E-03,+5.60628E-03
-12.97875E-03,+5.60628E-03,+5.60628E-03
-12.94750E-03,+5.60628E-03,+5.60628E-03
-12.91625E-03,+5.60628E-03,+5.60628E-03
-12.88500E-03,+5.60628E-03,+5.60628E-03
-12.85375E-03,+5.60628E-03,+5.60628E-03
-12.82250E-03,+5.60628E-03,+5.60628E-03
-12.79125E-03,+5.60628E-03,+5.60628E-03
-12.76000E-03,+5.60628E-03,+5.60628E-03
-12.72875E-03,+5.60628E-03,+5.60628E-03
-12.69750E-03,+5.60628E-03,+5.60628E-03
-12.66625E-03,+5.60628E-03,+5.60628E-03
-12.63500E-03,+5.60628E-03,+5.60628E-03
-12.60375E-03,+7.31482E-03,+7.31482E-03
-12.57250E-03,+13.24447E-03,+13.24447E-03
