Latency Node 1 [ms];Latency Node 2 [ms]
9.7;9.7
9.8;8.1
9.7;9.7
9.8;8.1
9.8;9.8
9.8;9.8
9.6;9.6
9.7;9.7
9.7;9.7
9.7;1.8
9.7;9.7
9.7;1.7
9.8;9.7
9.7;9.7
4.1;9.8
0.1;9.7
8.8;4.1
9.8;8.8
9.7;9.8
9.7;9.7
9.7;9.7
9.7;9.7
9.9;9.7
9.7;9.9
9.7;9.7
9.6;9.7
9.7;1.7
9.7;9.7
9.7;1.7
9.7;9.7
9.7;1.7
0.1;9.7
9.7;9.7
9.7;9.7
9.7;9.7
9.8;9.7
9.8;8.1
9.7;9.8
9.7;8.1
2;9.7
;9.7
;2
