x-axis,1,3
second,Volt,Volt
-3.508300E+00,+3.271231E+00,+3.266080E+00
-3.503300E+00,+3.241080E+00,+3.266080E+00
-3.498300E+00,-55.402E-03,+19.849E-03
-3.493300E+00,-25.251E-03,-10.302E-03
-3.488300E+00,-55.402E-03,+19.849E-03
-3.483300E+00,-55.402E-03,-30.402E-03
-3.478300E+00,-75.503E-03,-251E-06
-3.473300E+00,-25.251E-03,-30.402E-03
-3.468300E+00,+45.101E-03,-30.402E-03
-3.463300E+00,+25.000E-03,+19.849E-03
-3.458300E+00,-25.251E-03,-30.402E-03
-3.453300E+00,-55.402E-03,+50.000E-03
-3.448300E+00,-5.151E-03,-40.452E-03
-3.443300E+00,+25.000E-03,-251E-06
-3.438300E+00,-5.151E-03,-30.402E-03
-3.433300E+00,-5.151E-03,+19.849E-03
-3.428300E+00,-25.251E-03,-251E-06
-3.423300E+00,-5.151E-03,-30.402E-03
-3.418300E+00,-5.151E-03,-30.402E-03
-3.413300E+00,-25.251E-03,-251E-06
-3.408300E+00,+3.241080E+00,+3.266080E+00
-3.403300E+00,+3.271231E+00,+3.266080E+00
-3.398300E+00,-5.151E-03,+19.849E-03
-3.393300E+00,-25.251E-03,+19.849E-03
-3.388300E+00,+25.000E-03,-80.653E-03
-3.383300E+00,-55.402E-03,+50.000E-03
-3.378300E+00,-25.251E-03,-30.402E-03
-3.373300E+00,-5.151E-03,-30.402E-03
-3.368300E+00,-25.251E-03,+19.849E-03
-3.363300E+00,-25.251E-03,+19.849E-03
-3.358300E+00,+75.251E-03,-30.402E-03
-3.353300E+00,-5.151E-03,-30.402E-03
-3.348300E+00,+25.000E-03,-30.402E-03
-3.343300E+00,-75.503E-03,-30.402E-03
-3.338300E+00,-5.151E-03,-251E-06
-3.333300E+00,+25.000E-03,+50.000E-03
-3.328300E+00,+14.950E-03,+50.000E-03
-3.323300E+00,-5.151E-03,+19.849E-03
-3.318300E+00,-25.251E-03,-80.653E-03
-3.313300E+00,-5.151E-03,-30.402E-03
-3.308300E+00,+3.241080E+00,+3.266080E+00
-3.303300E+00,+3.291332E+00,+3.185678E+00
-3.298300E+00,-5.151E-03,-251E-06
-3.293300E+00,+25.000E-03,-30.402E-03
-3.288300E+00,-5.151E-03,+19.849E-03
-3.283300E+00,+25.000E-03,-30.402E-03
-3.278300E+00,-5.151E-03,+19.849E-03
-3.273300E+00,-55.402E-03,-251E-06
-3.268300E+00,+75.251E-03,-80.653E-03
-3.263300E+00,+25.000E-03,-30.402E-03
-3.258300E+00,+25.000E-03,-251E-06
-3.253300E+00,-25.251E-03,-251E-06
-3.248300E+00,+25.000E-03,-10.302E-03
-3.243300E+00,+25.000E-03,-60.553E-03
-3.238300E+00,+25.000E-03,-80.653E-03
-3.233300E+00,-5.151E-03,-251E-06
-3.228300E+00,+25.000E-03,-80.653E-03
-3.223300E+00,-25.251E-03,+19.849E-03
-3.218300E+00,-55.402E-03,-30.402E-03
-3.213300E+00,-25.251E-03,+50.000E-03
