TSF_board_1,TSF_board_2
1800301868,1800301849
1805301331,1805301321
1810301844,1810301852
1815301850,1815301850
1820301144,1820301123
1825301864,1825301854
1830301740,1830301728
1835301874,1835301857
1840301870,1840301865
1845301515,1845301522
1850301877,1850301868
1855301882,1855301864
1860301303,1860301313
1865301886,1865301870
1870301880,1870301870
1875301107,1875301109
1880301890,1880301873
1885301721,1885301711
1890301891,1890301876
1895301866,1895301878
1900301544,1900301516
1905301891,1905301881
1910301877,1910301883
1915301336,1915301326
1920301901,1920301892
1925301884,1925301894
1930301900,1930301896
1935301912,1935301898
1940301715,1940301715
1945301916,1945301901
1950301908,1950301903
1955301482,1955301482
1960301919,1960301900
1965301911,1965301908
1970301268,1970301264
1975301916,1975301905
1980301923,1980301911
1985301146,1985301149
1990301925,1990301910
1995301699,1995301685
2000301910,2000301914
2005301930,2005301927
2010301485,2010301475
2015301915,2015301918
2020301936,2020301926
2025301297,2025301286
2030301933,2030301923
2035301882,2035301885
2040301189,2040301161
2045301938,2045301928
2050301709,2050301711
2055301944,2055301925
2060301951,2060301934
2065301510,2065301515
2070301935,2070301936
2075301950,2075301945
2080301305,2080301293
2085301939,2085301930
2090301943,2090301942
2095301203,2095301185
2100301948,2100301942
2105301726,2105301706
2110301963,2110301950
2115301959,2115301952
2120301532,2120301518
2125301965,2125301961
2130301956,2130301957
2135301347,2135301344
2140301978,2140301965
2145301935,2145301938
2150301232,2150301223
2155301975,2155301964
2160301701,2160301695
2165301985,2165301974
2170301968,2170301969
2175301585,2175301574
2180301983,2180301980
2185301989,2185301979
2190301380,2190301376
2195301994,2195301985
2200301978,2200301979
2205301276,2205301270
2210301999,2210301991
2215301794,2215301792
2220302003,2220301988
2225301999,2225301995
2230301593,2230301593
2235302004,2235301994
2240302008,2240301998
2245301492,2245301497
2250302011,2250301999
2255302022,2255302002
2260301295,2260301298
2265302021,2265302007
2270301854,2270301844
2275302021,2275302018
2280302024,2280302014
2285301681,2285301670
2290302018,2290302026
2295302035,2295302023
2300301511,2300301499
2305301773,2305301766
2310302033,2310302039
2315301335,2315301330
2320301748,2320301742
2325301736,2325301749
2330302023,2330302020
2335301765,2335301755
2340301775,2340301778
2345302079,2345302061
2350302075,2350302071
2355301638,2355301635
2360302086,2360302075
2365302089,2365302085
2370301419,2370301431
2375302083,2375302093
2380302110,2380302098
2385301358,2385301354
2390302108,2390302106
2395301916,2395301911
2400302125,2400302097
2405302110,2405302116
2410301753,2410301760
2415302112,2415302124
